Date,Open,High,Low ,Last ,Close ,Total Trade Quantity,Turnover
15-Jan-19,1105,1132,1105,1130.95,1129.65,10062875,11318469360
16-Jan-19,1135,1145,1130.35,1136.5,1135.9,6382777,7270322619
17-Jan-19,1144.45,1147.9,1130,1133,1134.45,7487963,8531072687
18-Jan-19,1148.8,1189.9,1135.25,1185.8,1184.35,25684142,29870001779
21-Jan-19,1194,1239.95,1188.65,1235,1237.7,22038534,26948045198
22-Jan-19,1232.85,1246.95,1219.6,1232,1235.15,16552819,20426529562
23-Jan-19,1233.3,1244.2,1222,1224.45,1226.3,8829502,10893762274
24-Jan-19,1225,1253.2,1220.1,1249,1247.45,13155185,16318007440
25-Jan-19,1250.45,1264.7,1235.4,1247.1,1246,8550836,10718047747
28-Jan-19,1250.5,1255.95,1222.4,1230.5,1229.55,8569265,10602958029
29-Jan-19,1231,1231.65,1201.35,1214.9,1210.65,9328866,11314352060
30-Jan-19,1215,1225,1191.1,1195.75,1195.7,7846940,9479601531
31-Jan-19,1202,1229.7,1201,1225.2,1227.15,10185347,12430723963
1-Feb-19,1234,1255,1227.05,1253.1,1249.95,9228965,11450198242
4-Feb-19,1247,1296.95,1242.05,1289.5,1290.9,11670570,14816488322
5-Feb-19,1292,1304.4,1278.6,1288,1291.55,9362406,12096749451
6-Feb-19,1296.25,1317.65,1294.25,1310.55,1310.25,9411585,12322866455
7-Feb-19,1310.25,1321.2,1286.1,1288,1290.4,9212227,11996039371
8-Feb-19,1284.8,1300.5,1272.25,1277.8,1277.7,6505502,8346364103
11-Feb-19,1275.9,1276,1251,1254.5,1253.25,7523999,9475609078
12-Feb-19,1251.5,1272.35,1251.5,1255.5,1256.4,6399485,8074847916
13-Feb-19,1261,1273.95,1235.75,1238.3,1245.95,6964042,8767311289
14-Feb-19,1241,1241,1218,1229.1,1224.2,6627360,8131900744
15-Feb-19,1229.75,1249.9,1214,1248.1,1244.45,9597961,11792253866
18-Feb-19,1250,1252.5,1215,1215.65,1220.1,9649017,11835163808
19-Feb-19,1218,1239.7,1211.2,1215.6,1216.1,6244189,7670926659
20-Feb-19,1223.85,1240,1219,1235.55,1234.35,6298179,7736005977
21-Feb-19,1236,1257.8,1229.35,1247.3,1246.9,10580178,13188332137
22-Feb-19,1244.6,1245.3,1226,1231.7,1232.35,8755865,10803986768
25-Feb-19,1236,1243,1220.65,1231.3,1232.3,7852528,9676593047
26-Feb-19,1209.5,1234.8,1206,1220.2,1220.25,10131050,12372287570
27-Feb-19,1228.05,1244.9,1209,1220.65,1223.5,11113182,13637250489
28-Feb-19,1233.75,1239.85,1226.55,1232,1231.05,11286916,13917567837
1-Mar-19,1237,1242.35,1222.25,1225,1226.05,7922513,9737413570
5-Mar-19,1223.4,1239.8,1218.6,1237.45,1237.65,7121509,8752505366
6-Mar-19,1239.8,1273.1,1235.1,1262,1264.8,12038231,15139719373
7-Mar-19,1264,1279.8,1258.15,1270,1270.25,8109259,10312571023
8-Mar-19,1266.05,1274.45,1262,1266.9,1267.1,6040052,7654451409
11-Mar-19,1270.05,1312,1268,1309.55,1304.1,9718840,12556541046
12-Mar-19,1316.9,1334,1314.25,1330.85,1331.35,11228736,14876774951
13-Mar-19,1337,1360,1328.1,1349,1347.3,11236048,15046185762
14-Mar-19,1349.75,1362,1336.1,1339.5,1341.55,10402048,14067556296
15-Mar-19,1345,1358.8,1311.2,1323.75,1321.65,15893093,21202054548
18-Mar-19,1331,1357.95,1329,1356.5,1350.05,10105234,13553461916
19-Mar-19,1360,1380,1343.1,1378,1376.55,9805318,13356900675
20-Mar-19,1377.8,1388,1364,1373.05,1375.45,9892823,13614222090
22-Mar-19,1375.45,1375.45,1375.45,1375.45,1375.45,1055545,1451849370
22-Mar-19,1372.5,1380.9,1336.7,1345.1,1341.75,11465112,15582694375
25-Mar-19,1330.6,1336.85,1316.7,1328,1324.45,7951992,10537631803
26-Mar-19,1330.3,1371.6,1330,1369,1367.25,9479288,12826063636
27-Mar-19,1377.95,1377.95,1344.25,1347,1349.25,10094174,13735399191
28-Mar-19,1350.25,1369.8,1342.8,1362,1360,10482938,14228879897
29-Mar-19,1370.05,1376.85,1355.1,1363.05,1363.25,7699271,10498445886
1-Apr-19,1370,1406.8,1362.55,1391.6,1391.85,10098281,14003614629
2-Apr-19,1398,1403.1,1380.1,1388.2,1389.7,8012636,11140373758
3-Apr-19,1392.75,1403,1372,1374.6,1375.2,7849461,10912295747
4-Apr-19,1379,1383.7,1347.25,1354.5,1353.05,8375674,11396256161
5-Apr-19,1360.95,1363.9,1343,1355.85,1353.9,6728239,9100090312
8-Apr-19,1356,1357.5,1323.7,1328,1329.25,8723577,11646734561
9-Apr-19,1328.9,1340.7,1321,1338,1334.45,9497621,12636159791
10-Apr-19,1337.95,1348,1326.5,1331,1331.4,7612711,10185730758
11-Apr-19,1332.95,1353,1329,1350,1346.8,5741333,7684265512
12-Apr-19,1350,1356.9,1336.65,1340,1343.1,5919742,7968461251
15-Apr-19,1345,1348.95,1335,1339,1340.15,4245127,5694089312
16-Apr-19,1345,1360,1340,1345,1343.75,7936553,10711981440
18-Apr-19,1375,1389.75,1365,1386.05,1385.95,17960482,24776645490
22-Apr-19,1360,1367,1341.3,1344,1345.35,10792748,14611422111
23-Apr-19,1348,1373,1346,1364.65,1363.85,9055300,12342230169
24-Apr-19,1370.3,1394.8,1366.25,1389.5,1389.5,7360887,10153225468
25-Apr-19,1389.1,1412.4,1362.6,1370,1372.4,13929820,19387122710
26-Apr-19,1375,1395.95,1370.7,1392,1392.8,6889444,9534854406
30-Apr-19,1396.4,1396.4,1366.8,1392.45,1392.8,10217019,14148587975
2-May-19,1392,1413.9,1382.1,1403.1,1405.05,8682505,12175759294
3-May-19,1407.95,1417.5,1402.65,1409.9,1408.85,6510169,9193624810
6-May-19,1398,1402.8,1378.1,1382.95,1384.9,7237910,10078024781
7-May-19,1394.8,1395,1340.2,1341,1343.5,8877095,12087393002
8-May-19,1340,1340,1292.2,1297.75,1299.45,14610543,19185103692
9-May-19,1288.8,1288.8,1251.75,1253.15,1256.45,19507368,24678759802
10-May-19,1265,1277.7,1245,1245.75,1251.15,11226831,14185772329
13-May-19,1247.9,1260.8,1227.5,1229.9,1232.05,8047801,10035248863
14-May-19,1236.5,1269.35,1231.5,1267,1260.45,13001004,16285800117
